#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
1094892,11256656,mg519,MegaChil _gp0519,-,-,-,-,putative DNA-directed RNA polymerase subunit,protein-coding,-,-,-,putative DNA-directed RNA polymerase subunit,20200629,-
1094892,11257237,mg244,MegaChil _gp0244,-,-,-,-,putative methylated-DNA-protein-cysteine methyltransferase,protein-coding,-,-,-,putative methylated-DNA-protein-cysteine methyltransferase,20200629,-
1094892,11257238,mg977,MegaChil _gp0977,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
1094892,11257239,mg287,MegaChil _gp0287,-,-,-,-,collagen-like protein 7,protein-coding,-,-,-,collagen-like protein 7,20200629,-
1094892,11257240,mg626,MegaChil _gp0626,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
1094892,11257241,mg1028,MegaChil _gp1028,-,-,-,-,putative ankyrin repeat protein,protein-coding,-,-,-,putative ankyrin repeat protein,20200629,-
1094892,11257242,mg703,MegaChil _gp0703,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
1094892,11257243,mg932,MegaChil _gp0932,-,-,-,-,putative ankyrin repeat protein,protein-coding,-,-,-,putative ankyrin repeat protein,20200629,-
1094892,11257244,mg742,MegaChil _gp0742,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
1094892,11257245,mg688,MegaChil _gp0688,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
1094892,11257246,mg231,MegaChil _gp0231,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
1094892,11257247,mg245,MegaChil _gp0245,-,-,-,-,putative potassium channel protein,protein-coding,-,-,-,putative potassium channel protein,20200629,-
1094892,11257248,mg2,MegaChil _gp0002,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
1094892,11257249,mg940,MegaChil _gp0940,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
1094892,11257250,mg415,MegaChil _gp0415,-,-,-,-,putative bifunctional polynucleotide phosphatase/kinase,protein-coding,-,-,-,putative bifunctional polynucleotide phosphatase/kinase,20200629,-
1094892,11257251,mg924,MegaChil _gp0924,-,-,-,-,putative ankyrin repeat protein,protein-coding,-,-,-,putative ankyrin repeat protein,20200629,-
1094892,11257252,mg890,MegaChil _gp0890,-,-,-,-,putative BTB/POZ domain-containing protein,protein-coding,-,-,-,putative BTB/POZ domain-containing protein,20200629,-
1094892,11257253,mg288,MegaChil _gp0288,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
1094892,11257254,mg649,MegaChil _gp0649,-,-,-,-,cytochrome 450-like protein,protein-coding,-,-,-,cytochrome 450-like protein,20200629,-
1094892,11257255,mg620,MegaChil _gp0620,-,-,-,-,putative ATP-dependent RNA helicase,protein-coding,-,-,-,putative ATP-dependent RNA helicase,20200629,-
1094892,11257256,mg136,MegaChil _gp0136,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
1094892,11257257,mg594,MegaChil _gp0594,-,-,-,-,ribonucleoside-diphosphate reductase small chain,protein-coding,-,-,-,ribonucleoside-diphosphate reductase small chain,20200629,-
1094892,11257258,mg917,MegaChil _gp0917,-,-,-,-,putative F-box and FNIP repeat-containing protein,protein-coding,-,-,-,putative F-box and FNIP repeat-containing protein,20200629,-
1094892,11257259,mg66,MegaChil _gp0066,-,-,-,-,putative DNA-directed RNA polymerase subunit 1 inactive-like protein,protein-coding,-,-,-,putative DNA-directed RNA polymerase subunit 1 inactive-like protein,20200629,-
1094892,11257260,mg15,MegaChil _gp0015,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
1094892,11257261,mg14,MegaChil _gp0014,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
1094892,11257262,mg1,MegaChil _gp0001,-,-,-,-,Bro-N domain-containing protein,protein-coding,-,-,-,Bro-N domain-containing protein,20200629,-
1094892,11257263,mg1040,MegaChil _gp1040,-,-,-,-,putative F-box and FNIP repeat-containing protein,protein-coding,-,-,-,putative F-box and FNIP repeat-containing protein,20200629,-
1094892,11257264,mg1043,MegaChil _gp1043,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
1094892,11257265,mg996,MegaChil _gp0996,-,-,-,-,putative ankyrin repeat protein,protein-coding,-,-,-,putative ankyrin repeat protein,20200629,-
1094892,11257266,mg811,MegaChil _gp0811,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
1094892,11257267,mg810,MegaChil _gp0810,-,-,-,-,putative ankyrin repeat protein,protein-coding,-,-,-,putative ankyrin repeat protein,20200629,-
1094892,11257268,mg1024,MegaChil _gp1024,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
1094892,11257269,mg1076,MegaChil _gp1076,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
1094892,11257270,mg299,MegaChil _gp0299,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
1094892,11257271,mg807,MegaChil _gp0807,-,-,-,-,cysteinyl-tRNA synthetase,protein-coding,-,-,-,cysteinyl-tRNA synthetase,20200629,-
1094892,11257272,mg916,MegaChil _gp0916,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
1094892,11257273,mg759,MegaChil _gp0759,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
1094892,11257274,mg508,MegaChil _gp0508,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
1094892,11257275,mg454,MegaChil _gp0454,-,-,-,-,putative serine/threonine-protein kinase,protein-coding,-,-,-,putative serine/threonine-protein kinase,20200629,-
1094892,11257276,mg815,MegaChil _gp0815,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
1094892,11257277,mg659,MegaChil _gp0659,-,-,-,-,putative ankyrin repeat protein,protein-coding,-,-,-,putative ankyrin repeat protein,20200629,-
1094892,11257278,mg1088,MegaChil _gp1088,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
1094892,11257279,mg623,MegaChil _gp0623,-,-,-,-,putative FtsJ-like methyltransferase,protein-coding,-,-,-,putative FtsJ-like methyltransferase,20200629,-
1094892,11257280,mg929,MegaChil _gp0929,-,-,-,-,putative Sel1-like repeat-containing protein,protein-coding,-,-,-,putative Sel1-like repeat-containing protein,20200629,-
1094892,11257281,mg1109,MegaChil _gp1109,-,-,-,-,putative ankyrin repeat protein,protein-coding,-,-,-,putative ankyrin repeat protein,20200629,-
1094892,11257282,mg207,MegaChil _gp0207,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
1094892,11257283,mg368,MegaChil _gp0368,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
1094892,11257284,mg27,MegaChil _gp0027,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
1094892,11257285,mg145,MegaChil _gp0145,-,-,-,-,putative F-box and FNIP repeat-containing protein,protein-coding,-,-,-,putative F-box and FNIP repeat-containing protein,20200629,-
1094892,11257286,mg552,MegaChil _gp0552,-,-,-,-,putative transcription termination factor,protein-coding,-,-,-,putative transcription termination factor,20200629,-
1094892,11257287,mg139,MegaChil _gp0139,-,-,-,-,putative ankyrin repeat protein,protein-coding,-,-,-,putative ankyrin repeat protein,20200629,-
1094892,11257288,mg1000,MegaChil _gp1000,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
1094892,11257289,mg829,MegaChil _gp0829,-,-,-,-,putative EGF-like domain-containing protein,protein-coding,-,-,-,putative EGF-like domain-containing protein,20200629,-
1094892,11257290,mg587,MegaChil _gp0587,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
1094892,11257291,mg84,MegaChil _gp0084,-,-,-,-,putative ankyrin repeat protein,protein-coding,-,-,-,putative ankyrin repeat protein,20200629,-
1094892,11257292,mg1029,MegaChil _gp1029,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
1094892,11257293,mg534,MegaChil _gp0534,-,-,-,-,putative dTDP-d-glucose 4 6-dehydratase,protein-coding,-,-,-,putative dTDP-d-glucose 4 6-dehydratase,20200629,-
1094892,11257294,mg778,MegaChil _gp0778,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
1094892,11257295,mg952,MegaChil _gp0952,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
1094892,11257296,mg845,MegaChil _gp0845,-,-,-,-,putative F-box and FNIP repeat-containing protein,protein-coding,-,-,-,putative F-box and FNIP repeat-containing protein,20200629,-
1094892,11257297,mg738,MegaChil _gp0738,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
1094892,11257298,mg1058,MegaChil _gp1058,-,-,-,-,putative F-box and FNIP repeat-containing protein,protein-coding,-,-,-,putative F-box and FNIP repeat-containing protein,20200629,-
1094892,11257299,mg715,MegaChil _gp0715,-,-,-,-,putative ankyrin repeat protein,protein-coding,-,-,-,putative ankyrin repeat protein,20200629,-
1094892,11257300,mg793,MegaChil _gp0793,-,-,-,-,putative ankyrin repeat protein,protein-coding,-,-,-,putative ankyrin repeat protein,20200629,-
1094892,11257301,mg844,MegaChil _gp0844,-,-,-,-,tryptophanyl-tRNA synthetase,protein-coding,-,-,-,tryptophanyl-tRNA synthetase,20200629,-
1094892,11257302,mg49,MegaChil _gp0049,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
1094892,11257303,mg1054,MegaChil _gp1054,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
1094892,11257304,mg646,MegaChil _gp0646,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
1094892,11257305,mg202,MegaChil _gp0202,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
1094892,11257306,mg947,MegaChil _gp0947,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
1094892,11257307,mg847,MegaChil _gp0847,-,-,-,-,putative F-box and FNIP repeat-containing protein,protein-coding,-,-,-,putative F-box and FNIP repeat-containing protein,20200629,-
1094892,11257308,mg740,MegaChil _gp0740,-,-,-,-,putative phosphatidylinositol kinase,protein-coding,-,-,-,putative phosphatidylinositol kinase,20200629,-
1094892,11257309,mg711,MegaChil _gp0711,-,-,-,-,putative peptidase S9,protein-coding,-,-,-,putative peptidase S9,20200629,-
1094892,11257310,mg518,MegaChil _gp0518,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
1094892,11257311,mg1111,MegaChil _gp1111,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
1094892,11257312,mg622,MegaChil _gp0622,-,-,-,-,putative replication factor C small subunit,protein-coding,-,-,-,putative replication factor C small subunit,20200629,-
1094892,11257313,mg722,MegaChil _gp0722,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
1094892,11257314,mg1062,MegaChil _gp1062,-,-,-,-,putative ankyrin repeat protein,protein-coding,-,-,-,putative ankyrin repeat protein,20200629,-
1094892,11257315,mg894,MegaChil _gp0894,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
1094892,11257316,mg316,MegaChil _gp0316,-,-,-,-,putative ankyrin repeat protein,protein-coding,-,-,-,putative ankyrin repeat protein,20200629,-
1094892,11257317,mg812,MegaChil _gp0812,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
1094892,11257318,mg725,MegaChil _gp0725,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
1094892,11257319,mg372,MegaChil _gp0372,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
1094892,11257320,mg168,MegaChil _gp0168,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
1094892,11257321,mg720,MegaChil _gp0720,-,-,-,-,putative ankyrin repeat protein,protein-coding,-,-,-,putative ankyrin repeat protein,20200629,-
1094892,11257322,mg199,MegaChil _gp0199,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
1094892,11257323,mg76,MegaChil _gp0076,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
1094892,11257324,mg296,MegaChil _gp0296,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
1094892,11257325,mg277,MegaChil _gp0277,-,-,-,-,Cu/Zn superoxide dismutase,protein-coding,-,-,-,Cu/Zn superoxide dismutase,20200629,-
1094892,11257326,mg766,MegaChil _gp0766,-,-,-,-,putative F-box and FNIP repeat-containing protein,protein-coding,-,-,-,putative F-box and FNIP repeat-containing protein,20200629,-
1094892,11257327,mg33,MegaChil _gp0033,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
1094892,11257328,mg664,MegaChil _gp0664,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
1094892,11257329,mg1050,MegaChil _gp1050,-,-,-,-,putative Sel1-like repeat-containing protein,protein-coding,-,-,-,putative Sel1-like repeat-containing protein,20200629,-
1094892,11257330,mg905,MegaChil _gp0905,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
1094892,11257331,mg398,MegaChil _gp0398,-,-,-,-,putative ankyrin repeat protein,protein-coding,-,-,-,putative ankyrin repeat protein,20200629,-
1094892,11257332,mg16,MegaChil _gp0016,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
1094892,11257333,mg761,MegaChil _gp0761,-,-,-,-,putative lectin,protein-coding,-,-,-,putative lectin,20200629,-
1094892,11257334,mg701,MegaChil _gp0701,-,-,-,-,putative n-acetyltransferase,protein-coding,-,-,-,putative n-acetyltransferase,20200629,-
1094892,11257335,mg732,MegaChil _gp0732,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
1094892,11257336,mg604,MegaChil _gp0604,-,-,-,-,DNA ligase,protein-coding,-,-,-,DNA ligase,20200629,-
1094892,11257337,mg998,MegaChil _gp0998,-,-,-,-,putative BTB/POZ domain-containing protein,protein-coding,-,-,-,putative BTB/POZ domain-containing protein,20200629,-
1094892,11257338,mg524,MegaChil _gp0524,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
1094892,11257339,mg8,MegaChil _gp0008,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
1094892,11257340,mg1033,MegaChil _gp1033,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
1094892,11257341,mg984,MegaChil _gp0984,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
1094892,11257342,mg183,MegaChil _gp0183,-,-,-,-,putative homeobox protein,protein-coding,-,-,-,putative homeobox protein,20200629,-
1094892,11257343,mg71,MegaChil _gp0071,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
1094892,11257344,mg925,MegaChil _gp0925,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
1094892,11257345,mg770,MegaChil _gp0770,-,-,-,-,putative F-box and FNIP repeat-containing protein,protein-coding,-,-,-,putative F-box and FNIP repeat-containing protein,20200629,-
1094892,11257346,mg689,MegaChil _gp0689,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
1094892,11257347,mg97,MegaChil _gp0097,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
1094892,11257348,mg636,MegaChil _gp0636,-,-,-,-,putative serine threonine-protein kinase,protein-coding,-,-,-,putative serine threonine-protein kinase,20200629,-
1094892,11257349,mg1052,MegaChil _gp1052,-,-,-,-,putative ankyrin repeat protein,protein-coding,-,-,-,putative ankyrin repeat protein,20200629,-
1094892,11257350,mg341,MegaChil _gp0341,-,-,-,-,putative intron encoded HNH endonuclease,protein-coding,-,-,-,putative intron encoded HNH endonuclease,20200629,-
1094892,11257351,mg201,MegaChil _gp0201,-,-,-,-,putative ABC transporter ATP-binding protein/permease,protein-coding,-,-,-,putative ABC transporter ATP-binding protein/permease,20200629,-
1094892,11257352,mg923,MegaChil _gp0923,-,-,-,-,putative BTB/POZ domain-containing protein,protein-coding,-,-,-,putative BTB/POZ domain-containing protein,20200629,-
1094892,11257353,mg964,MegaChil _gp0964,-,-,-,-,putative ankyrin repeat protein,protein-coding,-,-,-,putative ankyrin repeat protein,20200629,-
1094892,11257354,mg474,MegaChil _gp0474,-,-,-,-,putative short-chain type dehydrogenase/reductase,protein-coding,-,-,-,putative short-chain type dehydrogenase/reductase,20200629,-
1094892,11257355,mg324,MegaChil _gp0324,-,-,-,-,putative set domain-containing protein,protein-coding,-,-,-,putative set domain-containing protein,20200629,-
1094892,11257356,mg65,MegaChil _gp0065,-,-,-,-,putative F-box and FNIP repeat-containing protein,protein-coding,-,-,-,putative F-box and FNIP repeat-containing protein,20200629,-
1094892,11257357,mg455,MegaChil _gp0455,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
1094892,11257358,mg31,MegaChil _gp0031,-,-,-,-,putative ankyrin repeat protein,protein-coding,-,-,-,putative ankyrin repeat protein,20200629,-
1094892,11257359,mg897,MegaChil _gp0897,-,-,-,-,putative KilA-N domain-containing protein,protein-coding,-,-,-,putative KilA-N domain-containing protein,20200629,-
1094892,11257360,mg882,MegaChil _gp0882,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
1094892,11257361,mg656,MegaChil _gp0656,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
1094892,11257362,mg504,MegaChil _gp0504,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
1094892,11257363,mg156,MegaChil _gp0156,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
1094892,11257364,mg912,MegaChil _gp0912,-,-,-,-,putative oxidoreductase,protein-coding,-,-,-,putative oxidoreductase,20200629,-
1094892,11257365,mg535,MegaChil _gp0535,-,-,-,-,dTDP-4-dehydrorhamnose reductase,protein-coding,-,-,-,dTDP-4-dehydrorhamnose reductase,20200629,-
1094892,11257366,mg1095,MegaChil _gp1095,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
1094892,11257367,mg848,MegaChil _gp0848,-,-,-,-,putative F-box and FNIP repeat-containing protein,protein-coding,-,-,-,putative F-box and FNIP repeat-containing protein,20200629,-
1094892,11257368,mg804,MegaChil _gp0804,-,-,-,-,arginyl-tRNA synthetase,protein-coding,-,-,-,arginyl-tRNA synthetase,20200629,-
1094892,11257369,mg10,MegaChil _gp0010,-,-,-,-,putative Bro-N domain-containing protein,protein-coding,-,-,-,putative Bro-N domain-containing protein,20200629,-
1094892,11257370,mg641,MegaChil _gp0641,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
1094892,11257371,mg510,MegaChil _gp0510,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
1094892,11257372,mg458,MegaChil _gp0458,-,-,-,-,putative HD phosphohydrolase,protein-coding,-,-,-,putative HD phosphohydrolase,20200629,-
1094892,11257373,mg1042,MegaChil _gp1042,-,-,-,-,putative F-box and FNIP repeat-containing protein,protein-coding,-,-,-,putative F-box and FNIP repeat-containing protein,20200629,-
1094892,11257374,mg164,MegaChil _gp0164,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
1094892,11257375,mg878,MegaChil _gp0878,-,-,-,-,putative GMC-type oxidoreductase,protein-coding,-,-,-,putative GMC-type oxidoreductase,20200629,-
1094892,11257376,mg1115,MegaChil _gp1115,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
1094892,11257377,mg320,MegaChil _gp0320,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
1094892,11257378,mg1003,MegaChil _gp1003,-,-,-,-,putative KilA-N domain-containing protein,protein-coding,-,-,-,putative KilA-N domain-containing protein,20200629,-
1094892,11257379,mg676,MegaChil _gp0676,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
1094892,11257380,mg281,MegaChil _gp0281,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
1094892,11257381,mg258,MegaChil _gp0258,-,-,-,-,p13-like protein,protein-coding,-,-,-,p13-like protein,20200629,-
1094892,11257382,mg1090,MegaChil _gp1090,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
1094892,11257383,mg1013,MegaChil _gp1013,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
1094892,11257384,mg392,MegaChil _gp0392,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
1094892,11257385,mg1097,MegaChil _gp1097,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
1094892,11257386,mg695,MegaChil _gp0695,-,-,-,-,putative helicase,protein-coding,-,-,-,putative helicase,20200629,-
1094892,11257387,mg317,MegaChil _gp0317,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
1094892,11257388,mg391,MegaChil _gp0391,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
1094892,11257389,mg685,MegaChil _gp0685,-,-,-,-,putative glutamine synthetase,protein-coding,-,-,-,putative glutamine synthetase,20200629,-
1094892,11257390,mg628,MegaChil _gp0628,-,-,-,-,putative F-box and FNIP repeat-containing protein,protein-coding,-,-,-,putative F-box and FNIP repeat-containing protein,20200629,-
1094892,11257391,mg107,MegaChil _gp0107,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
1094892,11257392,mg1020,MegaChil _gp1020,-,-,-,-,putative transposase,protein-coding,-,-,-,putative transposase,20200629,-
1094892,11257393,mg332,MegaChil _gp0332,-,-,-,-,DNA-directed RNA polymerase subunit 5,protein-coding,-,-,-,DNA-directed RNA polymerase subunit 5,20200629,-
1094892,11257394,mg170,MegaChil _gp0170,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
1094892,11257395,mg331,MegaChil _gp0331,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
1094892,11257396,mg752,MegaChil _gp0752,-,-,-,-,putative GTP binding translation elongation/initiation factor,protein-coding,-,-,-,putative GTP binding translation elongation/initiation factor,20200629,-
1094892,11257397,mg195,MegaChil _gp0195,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
1094892,11257398,mg551,MegaChil _gp0551,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
1094892,11257399,mg796,MegaChil _gp0796,-,-,-,-,putative amine oxidase,protein-coding,-,-,-,putative amine oxidase,20200629,-
1094892,11257400,mg561,MegaChil _gp0561,-,-,-,-,putative poly(A) polymerase catalytic subunit,protein-coding,-,-,-,putative poly(A) polymerase catalytic subunit,20200629,-
1094892,11257401,mg928,MegaChil _gp0928,-,-,-,-,putative BTB/POZ domain and WD-repeat protein,protein-coding,-,-,-,putative BTB/POZ domain and WD-repeat protein,20200629,-
1094892,11257402,mg909,MegaChil _gp0909,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
1094892,11257403,mg433,MegaChil _gp0433,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
1094892,11257404,mg825,MegaChil _gp0825,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
1094892,11257405,mg292,MegaChil _gp0292,-,-,-,-,collagen-like protein,protein-coding,-,-,-,collagen-like protein,20200629,-
1094892,11257406,mg328,MegaChil _gp0328,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
1094892,11257407,mg1092,MegaChil _gp1092,-,-,-,-,putative ankyrin repeat protein,protein-coding,-,-,-,putative ankyrin repeat protein,20200629,-
1094892,11257408,mg674,MegaChil _gp0674,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
1094892,11257409,mg733,MegaChil _gp0733,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
1094892,11257410,mg186,MegaChil _gp0186,-,-,-,-,putative ankyrin repeat protein,protein-coding,-,-,-,putative ankyrin repeat protein,20200629,-
1094892,11257411,mg832,MegaChil _gp0832,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
1094892,11257412,mg232,MegaChil _gp0232,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
1094892,11257413,mg302,MegaChil _gp0302,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
1094892,11257414,mg88,MegaChil _gp0088,-,-,-,-,putative BTB/POZ domain-containing protein,protein-coding,-,-,-,putative BTB/POZ domain-containing protein,20200629,-
1094892,11257415,mg814,MegaChil _gp0814,-,-,-,-,putative serine/threonine-protein kinase,protein-coding,-,-,-,putative serine/threonine-protein kinase,20200629,-
1094892,11257416,mg891,MegaChil _gp0891,-,-,-,-,putative ankyrin repeat protein,protein-coding,-,-,-,putative ankyrin repeat protein,20200629,-
1094892,11257417,mg409,MegaChil _gp0409,-,-,-,-,glutamine-dependent asparagine synthetase,protein-coding,-,-,-,glutamine-dependent asparagine synthetase,20200629,-
1094892,11257418,mg638,MegaChil _gp0638,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
1094892,11257419,mg428,MegaChil _gp0428,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
1094892,11257420,mg869,MegaChil _gp0869,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
1094892,11257421,mg445,MegaChil _gp0445,-,-,-,-,putative ADP-ribosyl glycohydrolase,protein-coding,-,-,-,putative ADP-ribosyl glycohydrolase,20200629,-
1094892,11257422,mg403,MegaChil _gp0403,-,-,-,-,DNA topoisomerase 2,protein-coding,-,-,-,DNA topoisomerase 2,20200629,-
1094892,11257423,mg431,MegaChil _gp0431,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
1094892,11257424,mg432,MegaChil _gp0432,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
1094892,11257425,mg334,MegaChil _gp0334,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
1094892,11257426,mg57,MegaChil _gp0057,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
1094892,11257427,mg1087,MegaChil _gp1087,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
1094892,11257428,mg456,MegaChil _gp0456,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
