#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
1904413,64638734,DEU56DRAFT_10000,DEU56DRAFT_10000,-,-,Unknown,-,BET3 family protein,protein-coding,-,-,-,BET3 family protein,20210605,-
1904413,64650336,DEU56DRAFT_884346,DEU56DRAFT_884346,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210605,-
1904413,64650337,DEU56DRAFT_884358,DEU56DRAFT_884358,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210605,-
1904413,64650338,DEU56DRAFT_884397,DEU56DRAFT_884397,-,-,Unknown,-,P-loop containing nucleoside triphosphate hydrolase protein,protein-coding,-,-,-,P-loop containing nucleoside triphosphate hydrolase protein,20210605,-
1904413,64650339,DEU56DRAFT_884437,DEU56DRAFT_884437,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210605,-
1904413,64650340,DEU56DRAFT_884442,DEU56DRAFT_884442,-,-,Unknown,-,UbiA prenyltransferase family,protein-coding,-,-,-,UbiA prenyltransferase family,20210605,-
1904413,64650341,DEU56DRAFT_884471,DEU56DRAFT_884471,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210605,-
1904413,64650342,DEU56DRAFT_884512,DEU56DRAFT_884512,-,-,Unknown,-,microsomal signal peptidase 25 kDa subunit-domain-containing protein,protein-coding,-,-,-,microsomal signal peptidase 25 kDa subunit-domain-containing protein,20210605,-
1904413,64650343,DEU56DRAFT_884522,DEU56DRAFT_884522,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210507,-
1904413,64650344,DEU56DRAFT_884580,DEU56DRAFT_884580,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210507,-
1904413,64650345,DEU56DRAFT_884584,DEU56DRAFT_884584,-,-,Unknown,-,glycoside hydrolase family 16 protein,protein-coding,-,-,-,glycoside hydrolase family 16 protein,20210605,-
1904413,64650346,DEU56DRAFT_884648,DEU56DRAFT_884648,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210605,-
1904413,64650347,DEU56DRAFT_884682,DEU56DRAFT_884682,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210605,-
1904413,64650348,DEU56DRAFT_884787,DEU56DRAFT_884787,-,-,Unknown,-,Alpha/Beta hydrolase protein,protein-coding,-,-,-,Alpha/Beta hydrolase protein,20210605,-
1904413,64650349,DEU56DRAFT_884792,DEU56DRAFT_884792,-,-,Unknown,-,major facilitator superfamily domain-containing protein,protein-coding,-,-,-,major facilitator superfamily domain-containing protein,20210605,-
1904413,64650350,DEU56DRAFT_884796,DEU56DRAFT_884796,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210605,-
1904413,64650351,DEU56DRAFT_884943,DEU56DRAFT_884943,-,-,Unknown,-,putative peripheral membrane protein,protein-coding,-,-,-,putative peripheral membrane protein,20210605,-
1904413,64650352,DEU56DRAFT_885062,DEU56DRAFT_885062,-,-,Unknown,-,TPR-like protein,protein-coding,-,-,-,TPR-like protein,20210605,-
1904413,64650353,DEU56DRAFT_885069,DEU56DRAFT_885069,-,-,Unknown,-,TPR-like protein,protein-coding,-,-,-,TPR-like protein,20210605,-
1904413,64650354,DEU56DRAFT_885077,DEU56DRAFT_885077,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210507,-
1904413,64650355,DEU56DRAFT_885143,DEU56DRAFT_885143,-,-,Unknown,-,aspartic proteinase,protein-coding,-,-,-,aspartic proteinase,20210605,-
1904413,64650356,DEU56DRAFT_885230,DEU56DRAFT_885230,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210605,-
1904413,64650357,DEU56DRAFT_885244,DEU56DRAFT_885244,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210605,-
1904413,64650358,DEU56DRAFT_885247,DEU56DRAFT_885247,-,-,Unknown,-,TPR-like protein,protein-coding,-,-,-,TPR-like protein,20210605,-
1904413,64650359,DEU56DRAFT_885326,DEU56DRAFT_885326,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210605,-
1904413,64650360,DEU56DRAFT_885347,DEU56DRAFT_885347,-,-,Unknown,-,tropomyosin,protein-coding,-,-,-,tropomyosin,20210605,-
1904413,64650361,DEU56DRAFT_885424,DEU56DRAFT_885424,-,-,Unknown,-,cytochrome P450,protein-coding,-,-,-,cytochrome P450,20210605,-
1904413,64650362,DEU56DRAFT_885463,DEU56DRAFT_885463,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210605,-
1904413,64650363,DEU56DRAFT_885483,DEU56DRAFT_885483,-,-,Unknown,-,cation efflux protein,protein-coding,-,-,-,cation efflux protein,20210605,-
1904413,64650364,DEU56DRAFT_885487,DEU56DRAFT_885487,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210605,-
1904413,64650365,DEU56DRAFT_88550,DEU56DRAFT_88550,-,-,Unknown,-,kinase-like domain-containing protein,protein-coding,-,-,-,kinase-like domain-containing protein,20210605,-
1904413,64650366,DEU56DRAFT_885581,DEU56DRAFT_885581,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210605,-
1904413,64650367,DEU56DRAFT_885617,DEU56DRAFT_885617,-,-,Unknown,-,peptidase M76 family-domain-containing protein,protein-coding,-,-,-,peptidase M76 family-domain-containing protein,20210605,-
1904413,64650368,DEU56DRAFT_885687,DEU56DRAFT_885687,-,-,Unknown,-,TPR-like protein,protein-coding,-,-,-,TPR-like protein,20210605,-
1904413,64650369,DEU56DRAFT_885715,DEU56DRAFT_885715,-,-,Unknown,-,CK1/CK1/CK1-D protein kinase,protein-coding,-,-,-,CK1/CK1/CK1-D protein kinase,20210605,-
1904413,64650370,DEU56DRAFT_885810,DEU56DRAFT_885810,-,-,Unknown,-,thioredoxin-domain-containing protein,protein-coding,-,-,-,thioredoxin-domain-containing protein,20210605,-
1904413,64650371,DEU56DRAFT_885824,DEU56DRAFT_885824,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210507,-
1904413,64650372,DEU56DRAFT_885849,DEU56DRAFT_885849,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210605,-
1904413,64650373,DEU56DRAFT_885894,DEU56DRAFT_885894,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210605,-
1904413,64650374,DEU56DRAFT_886064,DEU56DRAFT_886064,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210605,-
1904413,64650375,DEU56DRAFT_886103,DEU56DRAFT_886103,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210605,-
1904413,64650376,DEU56DRAFT_886277,DEU56DRAFT_886277,-,-,Unknown,-,laccase,protein-coding,-,-,-,laccase,20210605,-
1904413,64650377,DEU56DRAFT_886577,DEU56DRAFT_886577,-,-,Unknown,-,armadillo-type protein,protein-coding,-,-,-,armadillo-type protein,20210605,-
1904413,64650378,DEU56DRAFT_886712,DEU56DRAFT_886712,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210507,-
1904413,64650379,DEU56DRAFT_886716,DEU56DRAFT_886716,-,-,Unknown,-,ribosomal protein S5 domain 2-type protein,protein-coding,-,-,-,ribosomal protein S5 domain 2-type protein,20210605,-
1904413,64650380,DEU56DRAFT_886723,DEU56DRAFT_886723,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210605,-
1904413,64650381,DEU56DRAFT_886809,DEU56DRAFT_886809,-,-,Unknown,-,nucleoporin protein Ndc1-Nup,protein-coding,-,-,-,nucleoporin protein Ndc1-Nup,20210605,-
1904413,64650382,DEU56DRAFT_886827,DEU56DRAFT_886827,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210605,-
1904413,64650383,DEU56DRAFT_886843,DEU56DRAFT_886843,-,-,Unknown,-,SET domain-containing protein,protein-coding,-,-,-,SET domain-containing protein,20210605,-
1904413,64650384,DEU56DRAFT_886873,DEU56DRAFT_886873,-,-,Unknown,-,WD40-repeat-containing domain protein,protein-coding,-,-,-,WD40-repeat-containing domain protein,20210605,-
1904413,64650385,DEU56DRAFT_886876,DEU56DRAFT_886876,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210605,-
1904413,64650386,DEU56DRAFT_886890,DEU56DRAFT_886890,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210507,-
1904413,64650387,DEU56DRAFT_886893,DEU56DRAFT_886893,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210605,-
1904413,64650388,DEU56DRAFT_886916,DEU56DRAFT_886916,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210605,-
1904413,64650389,DEU56DRAFT_886925,DEU56DRAFT_886925,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210605,-
1904413,64650390,DEU56DRAFT_886942,DEU56DRAFT_886942,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210605,-
1904413,64650391,DEU56DRAFT_886995,DEU56DRAFT_886995,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210605,-
1904413,64650392,DEU56DRAFT_887004,DEU56DRAFT_887004,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210605,-
1904413,64650393,DEU56DRAFT_887041,DEU56DRAFT_887041,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210605,-
1904413,64650394,DEU56DRAFT_887045,DEU56DRAFT_887045,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210507,-
1904413,64650395,DEU56DRAFT_887059,DEU56DRAFT_887059,-,-,Unknown,-,DNA repair protein rad16,protein-coding,-,-,-,DNA repair protein rad16,20210605,-
1904413,64650396,DEU56DRAFT_887087,DEU56DRAFT_887087,-,-,Unknown,-,glycoside hydrolase family 55 protein,protein-coding,-,-,-,glycoside hydrolase family 55 protein,20210605,-
1904413,64650397,DEU56DRAFT_887143,DEU56DRAFT_887143,-,-,Unknown,-,CoA-dependent acyltransferase,protein-coding,-,-,-,CoA-dependent acyltransferase,20210605,-
1904413,64650398,DEU56DRAFT_887153,DEU56DRAFT_887153,-,-,Unknown,-,cytochrome P450,protein-coding,-,-,-,cytochrome P450,20210605,-
1904413,64650399,DEU56DRAFT_887195,DEU56DRAFT_887195,-,-,Unknown,-,pseudouridine synthase,protein-coding,-,-,-,pseudouridine synthase,20210605,-
1904413,64650400,DEU56DRAFT_887211,DEU56DRAFT_887211,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210605,-
1904413,64650401,DEU56DRAFT_887260,DEU56DRAFT_887260,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210507,-
1904413,64650402,DEU56DRAFT_887308,DEU56DRAFT_887308,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210605,-
1904413,64650403,DEU56DRAFT_887323,DEU56DRAFT_887323,-,-,Unknown,-,TPR-like protein,protein-coding,-,-,-,TPR-like protein,20210605,-
1904413,64650404,DEU56DRAFT_887439,DEU56DRAFT_887439,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210605,-
1904413,64650405,DEU56DRAFT_887538,DEU56DRAFT_887538,-,-,Unknown,-,interferon-inducible GTPase-domain-containing protein,protein-coding,-,-,-,interferon-inducible GTPase-domain-containing protein,20210605,-
1904413,64650406,DEU56DRAFT_887567,DEU56DRAFT_887567,-,-,Unknown,-,putative halogenase,protein-coding,-,-,-,putative halogenase,20210605,-
1904413,64650407,DEU56DRAFT_887596,DEU56DRAFT_887596,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210605,-
1904413,64650408,DEU56DRAFT_88768,DEU56DRAFT_88768,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210507,-
1904413,64650409,DEU56DRAFT_887740,DEU56DRAFT_887740,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210605,-
1904413,64650410,DEU56DRAFT_887800,DEU56DRAFT_887800,-,-,Unknown,-,GPI transamidase subunit PIG-U,protein-coding,-,-,-,GPI transamidase subunit PIG-U,20210605,-
1904413,64650411,DEU56DRAFT_887955,DEU56DRAFT_887955,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210507,-
1904413,64650412,DEU56DRAFT_888104,DEU56DRAFT_888104,-,-,Unknown,-,kinase-like domain-containing protein,protein-coding,-,-,-,kinase-like domain-containing protein,20210605,-
1904413,64650413,DEU56DRAFT_888107,DEU56DRAFT_888107,-,-,Unknown,-,protein transporter,protein-coding,-,-,-,protein transporter,20210605,-
1904413,64650414,DEU56DRAFT_88812,DEU56DRAFT_88812,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210507,-
1904413,64650415,DEU56DRAFT_888131,DEU56DRAFT_888131,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210605,-
1904413,64650416,DEU56DRAFT_88814,DEU56DRAFT_88814,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210605,-
1904413,64650417,DEU56DRAFT_888192,DEU56DRAFT_888192,-,-,Unknown,-,MFS polyamine transporter,protein-coding,-,-,-,MFS polyamine transporter,20210605,-
1904413,64650418,DEU56DRAFT_888299,DEU56DRAFT_888299,-,-,Unknown,-,GTP-binding protein,protein-coding,-,-,-,GTP-binding protein,20210605,-
1904413,64650419,DEU56DRAFT_888374,DEU56DRAFT_888374,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210605,-
1904413,64650420,DEU56DRAFT_888390,DEU56DRAFT_888390,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210605,-
1904413,64650421,DEU56DRAFT_888454,DEU56DRAFT_888454,-,-,Unknown,-,thaumatin,protein-coding,-,-,-,thaumatin,20210605,-
1904413,64650422,DEU56DRAFT_888459,DEU56DRAFT_888459,-,-,Unknown,-,MFS general substrate transporter,protein-coding,-,-,-,MFS general substrate transporter,20210605,-
1904413,64650423,DEU56DRAFT_888555,DEU56DRAFT_888555,-,-,Unknown,-,CHAT domain-containing protein,protein-coding,-,-,-,CHAT domain-containing protein,20210605,-
1904413,64650424,DEU56DRAFT_888592,DEU56DRAFT_888592,-,-,Unknown,-,CHAT domain-containing protein,protein-coding,-,-,-,CHAT domain-containing protein,20210605,-
1904413,64650425,DEU56DRAFT_888685,DEU56DRAFT_888685,-,-,Unknown,-,CHAT domain-containing protein,protein-coding,-,-,-,CHAT domain-containing protein,20210605,-
1904413,64650426,DEU56DRAFT_888707,DEU56DRAFT_888707,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210605,-
1904413,64650427,DEU56DRAFT_888717,DEU56DRAFT_888717,-,-,Unknown,-,pyridoxal phosphate-dependent transferase,protein-coding,-,-,-,pyridoxal phosphate-dependent transferase,20210605,-
1904413,64650428,DEU56DRAFT_888775,DEU56DRAFT_888775,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210605,-
1904413,64650429,DEU56DRAFT_888805,DEU56DRAFT_888805,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210507,-
1904413,64650430,DEU56DRAFT_888826,DEU56DRAFT_888826,-,-,Unknown,-,cytochrome P450,protein-coding,-,-,-,cytochrome P450,20210605,-
1904413,64650431,DEU56DRAFT_888830,DEU56DRAFT_888830,-,-,Unknown,-,cytochrome P450,protein-coding,-,-,-,cytochrome P450,20210605,-
1904413,64650432,DEU56DRAFT_888838,DEU56DRAFT_888838,-,-,Unknown,-,WD40-repeat-containing domain protein,protein-coding,-,-,-,WD40-repeat-containing domain protein,20210605,-
1904413,64650433,DEU56DRAFT_888928,DEU56DRAFT_888928,-,-,Unknown,-,FAD/NAD(P)-binding domain-containing protein,protein-coding,-,-,-,FAD/NAD(P)-binding domain-containing protein,20210605,-
1904413,64650434,DEU56DRAFT_889024,DEU56DRAFT_889024,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210605,-
1904413,64650435,DEU56DRAFT_889097,DEU56DRAFT_889097,-,-,Unknown,-,Methionyl/Leucyl tRNA synthetase,protein-coding,-,-,-,Methionyl/Leucyl tRNA synthetase,20210605,-
1904413,64650436,DEU56DRAFT_889099,DEU56DRAFT_889099,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210507,-
1904413,64650437,DEU56DRAFT_889108,DEU56DRAFT_889108,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210605,-
1904413,64650438,DEU56DRAFT_889162,DEU56DRAFT_889162,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210507,-
1904413,64650439,DEU56DRAFT_889268,DEU56DRAFT_889268,-,-,Unknown,-,nucleoporin-interacting protein NIC96,protein-coding,-,-,-,nucleoporin-interacting protein NIC96,20210605,-
1904413,64650440,DEU56DRAFT_889286,DEU56DRAFT_889286,-,-,Unknown,-,Clp protease-domain-containing protein,protein-coding,-,-,-,Clp protease-domain-containing protein,20210605,-
1904413,64650441,DEU56DRAFT_889432,DEU56DRAFT_889432,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210605,-
1904413,64650442,DEU56DRAFT_88945,DEU56DRAFT_88945,-,-,Unknown,-,laccase,protein-coding,-,-,-,laccase,20210605,-
1904413,64650443,DEU56DRAFT_889463,DEU56DRAFT_889463,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210605,-
1904413,64650444,DEU56DRAFT_889467,DEU56DRAFT_889467,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210507,-
1904413,64650445,DEU56DRAFT_889605,DEU56DRAFT_889605,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210605,-
1904413,64650446,DEU56DRAFT_889632,DEU56DRAFT_889632,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210605,-
1904413,64650447,DEU56DRAFT_889880,DEU56DRAFT_889880,-,-,Unknown,-,major facilitator superfamily domain-containing protein,protein-coding,-,-,-,major facilitator superfamily domain-containing protein,20210605,-
1904413,64650448,DEU56DRAFT_889906,DEU56DRAFT_889906,-,-,Unknown,-,GH3 auxin-responsive promoter,protein-coding,-,-,-,GH3 auxin-responsive promoter,20210605,-
1904413,64650449,DEU56DRAFT_889924,DEU56DRAFT_889924,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210507,-
1904413,64650450,DEU56DRAFT_889985,DEU56DRAFT_889985,-,-,Unknown,-,cytochrome P450,protein-coding,-,-,-,cytochrome P450,20210605,-
1904413,64650451,DEU56DRAFT_890018,DEU56DRAFT_890018,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210507,-
1904413,64650452,DEU56DRAFT_890043,DEU56DRAFT_890043,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210507,-
1904413,64650453,DEU56DRAFT_890138,DEU56DRAFT_890138,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210507,-
1904413,64650454,DEU56DRAFT_890172,DEU56DRAFT_890172,-,-,Unknown,-,GMC oxidoreductase-domain-containing protein,protein-coding,-,-,-,GMC oxidoreductase-domain-containing protein,20210605,-
1904413,64650455,DEU56DRAFT_890175,DEU56DRAFT_890175,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210605,-
1904413,64650456,DEU56DRAFT_890245,DEU56DRAFT_890245,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210507,-
1904413,64650457,DEU56DRAFT_890329,DEU56DRAFT_890329,-,-,Unknown,-,GTP-binding protein ypt5,protein-coding,-,-,-,GTP-binding protein ypt5,20210605,-
1904413,64650458,DEU56DRAFT_890340,DEU56DRAFT_890340,-,-,Unknown,-,D-lactate dehydrogenase cytochrome oxidoreductase,protein-coding,-,-,-,D-lactate dehydrogenase cytochrome oxidoreductase,20210605,-
1904413,64650459,DEU56DRAFT_890385,DEU56DRAFT_890385,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210507,-
1904413,64650460,DEU56DRAFT_890479,DEU56DRAFT_890479,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210507,-
1904413,64650461,DEU56DRAFT_890489,DEU56DRAFT_890489,-,-,Unknown,-,heterokaryon incompatibility protein-domain-containing protein,protein-coding,-,-,-,heterokaryon incompatibility protein-domain-containing protein,20210605,-
1904413,64650462,DEU56DRAFT_890517,DEU56DRAFT_890517,-,-,Unknown,-,RdRP-domain-containing protein,protein-coding,-,-,-,RdRP-domain-containing protein,20210605,-
1904413,64650463,DEU56DRAFT_890642,DEU56DRAFT_890642,-,-,Unknown,-,TPR-like protein,protein-coding,-,-,-,TPR-like protein,20210605,-
1904413,64650464,DEU56DRAFT_890681,DEU56DRAFT_890681,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210605,-
1904413,64650465,DEU56DRAFT_890757,DEU56DRAFT_890757,-,-,Unknown,-,PP2C-domain-containing protein,protein-coding,-,-,-,PP2C-domain-containing protein,20210605,-
1904413,64650466,DEU56DRAFT_89081,DEU56DRAFT_89081,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210507,-
1904413,64650467,DEU56DRAFT_89089,DEU56DRAFT_89089,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210605,-
1904413,64650468,DEU56DRAFT_890976,DEU56DRAFT_890976,-,-,Unknown,-,kinase-like domain-containing protein,protein-coding,-,-,-,kinase-like domain-containing protein,20210605,-
1904413,64650469,DEU56DRAFT_890977,DEU56DRAFT_890977,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210507,-
1904413,64650470,DEU56DRAFT_891041,DEU56DRAFT_891041,-,-,Unknown,-,glycosyltransferase family 15 protein,protein-coding,-,-,-,glycosyltransferase family 15 protein,20210605,-
1904413,64650471,DEU56DRAFT_891182,DEU56DRAFT_891182,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210605,-
1904413,64650472,DEU56DRAFT_891308,DEU56DRAFT_891308,-,-,Unknown,-,ferric reductase like transmembrane component-domain-containing protein,protein-coding,-,-,-,ferric reductase like transmembrane component-domain-containing protein,20210605,-
1904413,64650473,DEU56DRAFT_891333,DEU56DRAFT_891333,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210605,-
1904413,64650474,DEU56DRAFT_891345,DEU56DRAFT_891345,-,-,Unknown,-,inositol-pentakisphosphate 2-kinase,protein-coding,-,-,-,inositol-pentakisphosphate 2-kinase,20210605,-
1904413,64650475,DEU56DRAFT_891379,DEU56DRAFT_891379,-,-,Unknown,-,heme peroxidase,protein-coding,-,-,-,heme peroxidase,20210605,-
1904413,64650476,DEU56DRAFT_891476,DEU56DRAFT_891476,-,-,Unknown,-,general substrate transporter,protein-coding,-,-,-,general substrate transporter,20210605,-
1904413,64650477,DEU56DRAFT_891492,DEU56DRAFT_891492,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210507,-
1904413,64650478,DEU56DRAFT_891554,DEU56DRAFT_891554,-,-,Unknown,-,CHAT domain-containing protein,protein-coding,-,-,-,CHAT domain-containing protein,20210605,-
1904413,64650479,DEU56DRAFT_891621,DEU56DRAFT_891621,-,-,Unknown,-,cytochrome P450,protein-coding,-,-,-,cytochrome P450,20210605,-
1904413,64650480,DEU56DRAFT_891666,DEU56DRAFT_891666,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210605,-
1904413,64650481,DEU56DRAFT_891683,DEU56DRAFT_891683,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210605,-
1904413,64650482,DEU56DRAFT_891806,DEU56DRAFT_891806,-,-,Unknown,-,WD40-repeat-containing domain protein,protein-coding,-,-,-,WD40-repeat-containing domain protein,20210605,-
1904413,64650483,DEU56DRAFT_891826,DEU56DRAFT_891826,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210507,-
1904413,64650484,DEU56DRAFT_891834,DEU56DRAFT_891834,-,-,Unknown,-,WD40-repeat-containing domain protein,protein-coding,-,-,-,WD40-repeat-containing domain protein,20210605,-
1904413,64650485,DEU56DRAFT_891883,DEU56DRAFT_891883,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210605,-
1904413,64650486,DEU56DRAFT_891954,DEU56DRAFT_891954,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210507,-
1904413,64650487,DEU56DRAFT_892029,DEU56DRAFT_892029,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210605,-
1904413,64650488,DEU56DRAFT_892122,DEU56DRAFT_892122,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210507,-
1904413,64650489,DEU56DRAFT_892141,DEU56DRAFT_892141,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210605,-
1904413,64650490,DEU56DRAFT_892155,DEU56DRAFT_892155,-,-,Unknown,-,kinase-like domain-containing protein,protein-coding,-,-,-,kinase-like domain-containing protein,20210605,-
1904413,64650491,DEU56DRAFT_892157,DEU56DRAFT_892157,-,-,Unknown,-,kinase-like domain-containing protein,protein-coding,-,-,-,kinase-like domain-containing protein,20210605,-
1904413,64650492,DEU56DRAFT_892178,DEU56DRAFT_892178,-,-,Unknown,-,FAD binding domain-containing protein,protein-coding,-,-,-,FAD binding domain-containing protein,20210605,-
1904413,64650493,DEU56DRAFT_892181,DEU56DRAFT_892181,-,-,Unknown,-,FAD binding domain-containing protein,protein-coding,-,-,-,FAD binding domain-containing protein,20210605,-
1904413,64650494,DEU56DRAFT_892358,DEU56DRAFT_892358,-,-,Unknown,-,Chloroperoxidase,protein-coding,-,-,-,Chloroperoxidase,20210605,-
1904413,64650495,DEU56DRAFT_892401,DEU56DRAFT_892401,-,-,Unknown,-,acyl-CoA oxidase,protein-coding,-,-,-,acyl-CoA oxidase,20210605,-
1904413,64650496,DEU56DRAFT_892466,DEU56DRAFT_892466,-,-,Unknown,-,phosphatidylserine decarboxylase-domain-containing protein,protein-coding,-,-,-,phosphatidylserine decarboxylase-domain-containing protein,20210605,-
1904413,64650497,DEU56DRAFT_892511,DEU56DRAFT_892511,-,-,Unknown,-,major facilitator superfamily domain-containing protein,protein-coding,-,-,-,major facilitator superfamily domain-containing protein,20210605,-
